index,message,reply
1827,It did spread around the world and gave origin to different styles around the world,"It has spread so there is now a programming language in which the programs are written in musical composition, and functional programs have jazz-like harmonies."
1828,"It has spread so there is now a programming language in which the programs are written in musical composition, and functional programs have jazz-like harmonies.",Great! I also love the dance-oriented swing big bands like the Kansas city jazz
1829,Great! I also love the dance-oriented swing big bands like the Kansas city jazz,"Many people, even Clint eastwood are lifelong jazz enthusiasts, and scored several films, including million dollar baby"
1830,"Many people, even Clint eastwood are lifelong jazz enthusiasts, and scored several films, including million dollar baby","Cool, it is funny that rapper Tupac Shakur studied jazz, acting and poetry.. but became a rapper."
1831,"Cool, it is funny that rapper Tupac Shakur studied jazz, acting and poetry.. but became a rapper.",People are often multitalented!    Thanks for the chat!
1832,People are often multitalented!    Thanks for the chat!,Did you know that Jazz music originated in New Orleans?
1833,Did you know that Jazz music originated in New Orleans?,Hello - I did not know that. Do you like jazz music?
1834,Hello - I did not know that. Do you like jazz music?,"It began in the early 1900's there and became really popular in the 1920's. I like all styles of music actually.  Rock music, pop music, country, I like it all. "
1835,"It began in the early 1900's there and became really popular in the 1920's. I like all styles of music actually.  Rock music, pop music, country, I like it all. ",That's pretty cool. Jazz trumpeters grew goatees to provide comfort while playing.
1836,That's pretty cool. Jazz trumpeters grew goatees to provide comfort while playing.,That's interesting to know!  There's different styles of jazz...Gypsy jazz and Kansas City jazz.
1837,That's interesting to know!  There's different styles of jazz...Gypsy jazz and Kansas City jazz.,I didn't know they had those two different styles. That's really cool.
1838,I didn't know they had those two different styles. That's really cool.,Yes.  Clint Eastwood is a lifelong jazz fan!
1839,Yes.  Clint Eastwood is a lifelong jazz fan!,That's cool. A Harlem woman has held free jazz concerts in her apartment for 20 years now.
1840,That's cool. A Harlem woman has held free jazz concerts in her apartment for 20 years now.,Neat!  I bet that is a pain to drag up the guitars and piano  up there.
1841,Neat!  I bet that is a pain to drag up the guitars and piano  up there.,I bet so too. Pakistan has a jazz orchestra.
1842,I bet so too. Pakistan has a jazz orchestra.,Interesting.  I don't think of jazz when I think of Pakistan. 
1843,Interesting.  I don't think of jazz when I think of Pakistan. ,"Me either lol. Eddie Van Halen set his studio speakers on fire when he recorded the guitar solo for ""beat it""."
1844,"Me either lol. Eddie Van Halen set his studio speakers on fire when he recorded the guitar solo for ""beat it"".",Whoa!  His playing was literally on fire.  lol  Brian May from Queen uses coins as guitar picks.
1845,Whoa!  His playing was literally on fire.  lol  Brian May from Queen uses coins as guitar picks.,That's cool I've heard of people using coins before.
1846,That's cool I've heard of people using coins before.,It probably would give it a different sound I would think since you're strumming the strings with a metal and not plastic pick.
1847,It probably would give it a different sound I would think since you're strumming the strings with a metal and not plastic pick.,I bet you're right on that. He also has a PHD in astrophysics.
1848,I bet you're right on that. He also has a PHD in astrophysics.,Interesting.  The guitarist from Pink Floyd turned a houseboat into a recording studio.  Crazy stuff.
1849,Interesting.  The guitarist from Pink Floyd turned a houseboat into a recording studio.  Crazy stuff.,That's funny. A group climb Britain's highest mountain back in 2006 and found a piano on top.
1850,That's funny. A group climb Britain's highest mountain back in 2006 and found a piano on top.,I couldn't even imagine the ordeal it would have been for whomever had to take that piano up there originally.  An aluminum grand piano weighs 356 pounds and that's light compared to a regular piano.
1851,I couldn't even imagine the ordeal it would have been for whomever had to take that piano up there originally.  An aluminum grand piano weighs 356 pounds and that's light compared to a regular piano.,Wow that's much lighter compared to a regular one.
1852,Wow that's much lighter compared to a regular one.,Freddie Mercury used the same piano to record Bohemian Rhapsody that Paul McCartney used to record Hey Jude.
